2,500,000+ views (12)
• "Know Your Worth" - Khalid & Disclosure | 150K+
150,000 - 100,000 views (101)
• "Girl is a Gun" - Halsey | 145K+
• "Broke As Fuck" - YBN Cordae | 145K+
• "Nasty" - DaBaby ft. Megan Stallion & Ashanti | 145K+
• "me & ur ghost" - blackbear | 145K+
• "GNF (OKOKOK)" - Polo G | 145K+
• "Kody Blue 31" - JID | 145K+
• "Bleed" - A Boogie wit da Hoodie | 145K+
• "Everybody Business" - Kehlani | 145K+
• "Ruby Rosary" - A$AP Rocky ft. J. Cole | 145K+
• "Twenty To One" - Dave | 145K+
• "All Bad" - Future ft. Lil Uzi Vert | 145K+
• "LAYERS" - NF | 145K+
• "MAZZA" - slowthai & A$AP Rocky | 145K+
• "Red Eye" - NBA YoungBoy | 145K+
• "Can You Blame Me" - Kehlani ft. Lucky Daye | 145K+
• "Pricey" - J. Cole ft. Ari Lennox, Young Dro & Gucci Mane | 140K+
• "Adonis Interlude" - J. Cole | 140K+
• "4 Da Gang" - 42 Dugg & Roddy Ricch | 140K+
• "Heaven On Earth" - Kid Cudi | 140K+
• "the ride-" - Lil Yachty ft. Teezo Touchdown | 140K+
• "MOTTO" - NF | 140K+
• "She" - Selena Gomez | 140K+
• "Deserve You" - Justin Bieber | 140K+
• "No Excuses" - NF | 140K+
• "What You Need" - Don Toliver | 140K+
• "Titanium" - Dave | 135K+
• "YUKON (INTERLUDE)" - Joji | 135K+
• "Some' To Rap About" - Freddie Gibbs ft. Tyler, The Creator | 130K+
• "1985" - Freddie Gibbs | 130K+
• "2010" - Earl Sweatshirt | 130K+
• "Fly As Me" - Silk Sonic | 130K+
• "Chase / glass shards" - XXXTENTACION | 130K+
• "NOIZE" - Jaden ft. Tyler, The Creator | 130K+
• "DND" - Polo G | 130K+
• "Bout a Million" - Pop Smoke ft. 42 Dugg & 21 Savage | 130K+
• "Cooler Than A Bitch" - Gunna ft. Roddy Ricch | 130K+
• "Otherside of America" - Meek Mill | 130K+
• "Upgrade" - Joji | 130K+
• "ZAZA" - 6IX9INE | 130K+
• "I Lied" - Joyner Lucas | 130K+
• "MOMMA TALK" - Tyler, The Creator | 130K+
• "Bounce Man" - twenty one pilots | 130K+
• "Never Take It" - twenty one pilots | 130K+
• "Go In" - Lil Tjay | 125K+
• "HUSBAND" - Kanye West | 125K+
• "Dior (Remix)" - Pop Smoke ft. Gunna | 125K+
• "all i know" - MGK ft. Trippie Redd | 125K+
• "Even/Part" - Olivia Rodrigo & Joshua Bassett | 125K+
• "High" - Miley Cyrus | 120K+
• "For My Hand" - Burna Boy ft. Ed Sheeran | 120K+
• "Over Your Head" - Future & Lil Uzi Vert | 120K+
• "concert for aliens" - MGK | 120K+
• "Fall Slowly" - Joyner Lucas ft. Ashanti | 120K+
• "Dragonball Durag" - Thundercat | 120K+
• "Are You Going To See.." - $UICIDEBOY$ | 115K+
• "THE_EVIL..." - $UICIDEBOY$ | 115K+
• "2007" - JID | 115K+
• "Pray 4 Love" - Rod Wave | 115K+
• "Speak" - Jhené Aiko | 115K+
• "No Auto" - Lil Uzi Vert ft. Lil Durk | 115K+
• "Telepath" - Conan Gray | 115K+
• "I'm Ready" - Sam Smith & Demi Lovato | 115K+
• "Take You Back" - Russ & Kehlani | 115K+
• "React" - The Pussycat Dolls | 115K+
• "Night Crawling" - Miley Cyrus | 115K+
• "LTDP (FUCK BET)" - Lil Nas X & YoungBoy | 115K+
• "Put On a Smile" - Silk Sonic | 115K+
• "Beat It" - Future & Metro Boomin | 115K+
• "DON'T SHOOT UP THE PARTY" - BROCKHAMPTON | 110K+
• "Luv Is Art" - A Boogie ft. Lil Uzi | 110K+
• "To Summer, From Cole" - Summer Walker & J. Cole | 110K+
• "Something Real" - Chris Brown & Summer Walker | 110K+
• "Up All Night" - Khalid | 110K+
• "The Other Side" - Justin Timberlake & SZA | 110K+
• "Fuel (Shady Remix)" - Eminem ft. Westside Boogie & Grip | 110K+
• "ZTFO" - Big Sean | 110K+
• "St. Lucia" - Future | 110K+
• "JUMP" - Lil Durk & King Von ft. Memo600 & Booka600 | 110K+
• "Better Believe" - Belly ft. Young Thug & The Weeknd | 110K+
• "Fuck The Girls" - Doja Cat | 110K+
• "Past Life" - Trevor Daniel & Selena Gomez | 110K+
• "midnight love" - girl in red | 110K+
• "THE LIGHT P. II" - BROCKHAMPTON | 110K+
• "Mourning" - Post Malone | 110K+
• "Escape From BABYLON" - $UICIDEBOY$ | 110K+
• "whispers indistinctly" - $UICIDEBOY$ | 110K+
• "Tides" - Ed Sheeran | 110K+
• "Fallen Star" - The Neighbourhood | 110K+
• "Three Rivers" - Dave | 105K+
• "How it go" - Yeat | 105K+
• "Love in My Pocket" - Rich Brian | 105K+
• "That Go!" - YSL, Young Thug ft. Meek Mill & T-Shyne | 105K+
• "Lust" - SAINt JHN ft. Janelle Kroll | 105K+
• "Man In The Mirror" - A Boogie | 105K+
• "Come Through" - H.E.R. ft. Chris Brown | 105K+
• "Twisted" - French Montana ft. A$AP Rocky, Juicy J & Logic | 105K+
• "BROKEN GIRLS" - Saba | 105K+
• "Just So You Remember" - Pusha T | 105K+
• "System" - Dave & Wizkid | 100K+
• "Instant Destiny" - Tame Impala | 100K+
• "Windowsill" - ZAYN | 100K+
100,000 - 90,000 views (23)
• "Not In The Mood" - Lil Tjay ft. Fivio Foreign & Kay Flock | 99K+
• "The Man, The Myth, The Legend - Juice WRLD | 99K+
• "Mona Lisa" - Dominic Fike | 99K+
• "Freaky Girls" Megan Thee Stallion ft. SZA | 95K+
• "Fake" - Lauv & Conan Gray | 95K+
• "Kill Yourself" - $uicideboy$ | 95K+
• "SCIENTISTS & ENGINEERS" - Killer Mike ft. André 3000 & Future | 95K+
• "Our 25th Birthday" - Dave & Central Cee | 95K+
• "CALLIGRAPHY" - Saba | 95K+
• "Riot" - Lil Skies | 95K+
• "Lotus (Intro)" - Jhené Aiko | 95K+
• "LOGOUT" - Saba ft. Chance The Rapper | 95K+
• "BIG PAPER" - DJ Khaled & Cardi B | 90K+
• "N o C h i l l" - PARTYNEXTDOOR | 90K+
• "The Jackie" - J. Cole & Bas ft. Lil Tjay | 90K+
• "Crazy" - Lil Baby | 90K+
• "Posted with Demons" - Future | 90K+
• "Shouldn't Matter..." - John Mayer | 90K+
• "No möre talk" - Yeat | 90K+
• "WITHOUT YOU (Remix)" - The Kid LAROI ft. Miley Cyrus | 90K+
• "ringtone (remix)" - 100 gecs | 90K+
• "Scared Money" - YG ft. J. Cole & Moneybagg Yo | 90K+
• "Sweetheart" - Pop Smoke ft. Fivio Foreign | 90K+12
